Pergunta,Resposta
Qual o link para o curso de NR 31?,Consulte o portal interno de treinamentos para acessar o curso de NR 31: https://enk.webtraining.com.br/siga/siga_app/templates/padrao/aluno/desktop/desktop.asp
O curso de NR 31 é obrigatório?,A obrigatoriedade do curso de NR 31 depende do seu cargo. Verifique se o seu nome se encontra na lista de treinamentos e verifique com o setor de segurança do trabalho.
O curso de NR 31 tem reciclagem?,"Caso o curso de NR 31 exija reciclagem, essa informação estará disponível no portal interno de treinamentos: https://enk.webtraining.com.br/siga/siga_app/templates/padrao/aluno/desktop/desktop.asp"
Devo fazer o curso de NR 32?,Verifique no portal interno de treinamentos se o curso de NR 32 é necessário para sua função: https://enk.webtraining.com.br/siga/siga_app/templates/padrao/aluno/desktop/desktop.asp
Onde encontro o curso de NR 32?,O curso de NR 32 está disponível no portal interno de treinamentos: https://enk.webtraining.com.br/siga/siga_app/templates/padrao/aluno/desktop/desktop.asp
Qual o link para o curso de NR 32?,Consulte o portal interno de treinamentos para acessar o curso de NR 32: https://enk.webtraining.com.br/siga/siga_app/templates/padrao/aluno/desktop/desktop.asp
O curso de NR 32 é obrigatório?,A obrigatoriedade do curso de NR 32 depende do seu cargo. Verifique se o seu nome se encontra na lista de treinamentos e verifique com o setor de segurança do trabalho.
O curso de NR 32 tem reciclagem?,"Caso o curso de NR 32 exija reciclagem, essa informação estará disponível no portal interno de treinamentos: https://enk.webtraining.com.br/siga/siga_app/templates/padrao/aluno/desktop/desktop.asp"
Devo fazer o curso de NR 33?,Verifique no portal interno de treinamentos se o curso de NR 33 é necessário para sua função: https://enk.webtraining.com.br/siga/siga_app/templates/padrao/aluno/desktop/desktop.asp
Onde encontro o curso de NR 33?,O curso de NR 33 está disponível no portal interno de treinamentos: https://enk.webtraining.com.br/siga/siga_app/templates/padrao/aluno/desktop/desktop.asp
Qual o link para o curso de NR 33?,Consulte o portal interno de treinamentos para acessar o curso de NR 33: https://enk.webtraining.com.br/siga/siga_app/templates/padrao/aluno/desktop/desktop.asp
O curso de NR 33 é obrigatório?,A obrigatoriedade do curso de NR 33 depende do seu cargo. Verifique se o seu nome se encontra na lista de treinamentos e verifique com o setor de segurança do trabalho.
O curso de NR 33 tem reciclagem?,"Caso o curso de NR 33 exija reciclagem, essa informação estará disponível no portal interno de treinamentos: https://enk.webtraining.com.br/siga/siga_app/templates/padrao/aluno/desktop/desktop.asp"
Devo fazer o curso de NR 34?,Verifique no portal interno de treinamentos se o curso de NR 34 é necessário para sua função: https://enk.webtraining.com.br/siga/siga_app/templates/padrao/aluno/desktop/desktop.asp
Onde encontro o curso de NR 34?,O curso de NR 34 está disponível no portal interno de treinamentos: https://enk.webtraining.com.br/siga/siga_app/templates/padrao/aluno/desktop/desktop.asp
Qual o link para o curso de NR 34?,Consulte o portal interno de treinamentos para acessar o curso de NR 34: https://enk.webtraining.com.br/siga/siga_app/templates/padrao/aluno/desktop/desktop.asp
O curso de NR 34 é obrigatório?,A obrigatoriedade do curso de NR 34 depende do seu cargo. Verifique se o seu nome se encontra na lista de treinamentos e verifique com o setor de segurança do trabalho.
O curso de NR 34 tem reciclagem?,"Caso o curso de NR 34 exija reciclagem, essa informação estará disponível no portal interno de treinamentos: https://enk.webtraining.com.br/siga/siga_app/templates/padrao/aluno/desktop/desktop.asp"
Devo fazer o curso de NR 35?,Verifique no portal interno de treinamentos se o curso de NR 35 é necessário para sua função: https://enk.webtraining.com.br/siga/siga_app/templates/padrao/aluno/desktop/desktop.asp
Onde encontro o curso de NR 35?,O curso de NR 35 está disponível no portal interno de treinamentos: https://enk.webtraining.com.br/siga/siga_app/templates/padrao/aluno/desktop/desktop.asp
Qual o link para o curso de NR 35?,Consulte o portal interno de treinamentos para acessar o curso de NR 35: https://enk.webtraining.com.br/siga/siga_app/templates/padrao/aluno/desktop/desktop.asp
O curso de NR 35 é obrigatório?,A obrigatoriedade do curso de NR 35 depende do seu cargo. Verifique se o seu nome se encontra na lista de treinamentos e verifique com o setor de segurança do trabalho.
O curso de NR 35 tem reciclagem?,"Caso o curso de NR 35 exija reciclagem, essa informação estará disponível no portal interno de treinamentos: https://enk.webtraining.com.br/siga/siga_app/templates/padrao/aluno/desktop/desktop.asp"
Devo fazer o curso de NR 36?,Verifique no portal interno de treinamentos se o curso de NR 36 é necessário para sua função: https://enk.webtraining.com.br/siga/siga_app/templates/padrao/aluno/desktop/desktop.asp
Onde encontro o curso de NR 36?,O curso de NR 36 está disponível no portal interno de treinamentos: https://enk.webtraining.com.br/siga/siga_app/templates/padrao/aluno/desktop/desktop.asp
Qual o link para o curso de NR 36?,Consulte o portal interno de treinamentos para acessar o curso de NR 36: https://enk.webtraining.com.br/siga/siga_app/templates/padrao/aluno/desktop/desktop.asp
O curso de NR 36 é obrigatório?,A obrigatoriedade do curso de NR 36 depende do seu cargo. Verifique se o seu nome se encontra na lista de treinamentos e verifique com o setor de segurança do trabalho.
O curso de NR 36 tem reciclagem?,"Caso o curso de NR 36 exija reciclagem, essa informação estará disponível no portal interno de treinamentos: https://enk.webtraining.com.br/siga/siga_app/templates/padrao/aluno/desktop/desktop.asp"
